pid,local_address,remote_address,remote_port,status,timestamp
24692,10.127.237.69:60223,13.69.239.77,443,ESTABLISHED,1766997048
7532,127.0.0.1:49686,127.0.0.1,49687,ESTABLISHED,1766997048
5312,10.127.237.69:57064,4.213.25.240,443,ESTABLISHED,1766997048
1428,127.0.0.1:49756,127.0.0.1,49757,ESTABLISHED,1766997048
3296,127.0.0.1:49750,127.0.0.1,49751,ESTABLISHED,1766997048
5244,10.127.237.69:49451,172.64.155.209,443,ESTABLISHED,1766997048
5244,10.127.237.69:57339,74.125.130.188,5228,ESTABLISHED,1766997048
3296,127.0.0.1:49751,127.0.0.1,49750,ESTABLISHED,1766997048
1948,127.0.0.1:49748,127.0.0.1,49749,ESTABLISHED,1766997048
29028,10.127.237.69:56087,20.42.72.131,443,ESTABLISHED,1766997048
23276,10.127.237.69:54500,40.104.122.146,443,ESTABLISHED,1766997048
7532,127.0.0.1:49684,127.0.0.1,49685,ESTABLISHED,1766997048
16388,10.127.237.69:57835,52.123.168.129,443,ESTABLISHED,1766997048
5508,127.0.0.1:49755,127.0.0.1,49754,ESTABLISHED,1766997048
7532,127.0.0.1:49685,127.0.0.1,49684,ESTABLISHED,1766997048
7532,127.0.0.1:49687,127.0.0.1,49686,ESTABLISHED,1766997048
28660,10.127.237.69:57062,52.123.164.123,443,ESTABLISHED,1766997048
1428,127.0.0.1:49757,127.0.0.1,49756,ESTABLISHED,1766997048
1948,127.0.0.1:49749,127.0.0.1,49748,ESTABLISHED,1766997048
5508,127.0.0.1:49754,127.0.0.1,49755,ESTABLISHED,1766997048
5244,10.127.237.69:52669,172.64.155.209,443,ESTABLISHED,1766997048
5312,10.127.237.69:54503,4.213.25.240,443,ESTABLISHED,1766997048
7532,127.0.0.1:49686,127.0.0.1,49687,ESTABLISHED,1766997058
1428,127.0.0.1:49756,127.0.0.1,49757,ESTABLISHED,1766997058
5244,10.127.237.69:57339,74.125.130.188,5228,ESTABLISHED,1766997058
20928,10.127.237.69:60236,104.18.27.120,80,ESTABLISHED,1766997058
29028,10.127.237.69:56087,20.42.72.131,443,ESTABLISHED,1766997058
20928,10.127.237.69:60231,104.18.27.120,80,ESTABLISHED,1766997058
20928,10.127.237.69:60224,104.18.27.120,80,ESTABLISHED,1766997058
20928,10.127.237.69:60240,104.18.27.120,80,ESTABLISHED,1766997058
20928,10.127.237.69:60237,104.18.27.120,80,ESTABLISHED,1766997058
1948,127.0.0.1:49749,127.0.0.1,49748,ESTABLISHED,1766997058
5244,10.127.237.69:52669,172.64.155.209,443,ESTABLISHED,1766997058
5508,127.0.0.1:49754,127.0.0.1,49755,ESTABLISHED,1766997058
20928,10.127.237.69:60244,104.18.27.120,80,ESTABLISHED,1766997058
20928,10.127.237.69:60227,104.18.27.120,80,ESTABLISHED,1766997058
24692,10.127.237.69:60223,13.69.239.77,443,ESTABLISHED,1766997058
20928,10.127.237.69:60249,104.18.27.120,80,ESTABLISHED,1766997058
20928,10.127.237.69:60225,104.18.27.120,80,ESTABLISHED,1766997058
20928,10.127.237.69:60242,104.18.27.120,80,ESTABLISHED,1766997058
5244,10.127.237.69:49451,172.64.155.209,443,ESTABLISHED,1766997058
20928,10.127.237.69:60229,104.18.27.120,80,ESTABLISHED,1766997058
20928,10.127.237.69:60243,104.18.27.120,80,ESTABLISHED,1766997058
20928,10.127.237.69:60230,104.18.27.120,80,ESTABLISHED,1766997058
23276,10.127.237.69:54500,40.104.122.146,443,ESTABLISHED,1766997058
5508,127.0.0.1:49755,127.0.0.1,49754,ESTABLISHED,1766997058
20928,10.127.237.69:60241,104.18.27.120,80,ESTABLISHED,1766997058
7532,127.0.0.1:49687,127.0.0.1,49686,ESTABLISHED,1766997058
20928,10.127.237.69:60245,104.18.27.120,80,ESTABLISHED,1766997058
