pid,process_name,has_ui,runtime_seconds,cmdline
188,UNKNOWN,NO,840437,
480,msedgewebview2.exe,NO,5055,"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe --type=renderer --noerrdialogs --user-data-dir=C:\Users\amrit\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView --webview-exe-name=ms-teams.exe --webview-exe-version=25332.1210.4188.1171 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --dma-cps-flags=0 --no-pre-read-main-dll --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --enable-blink-features=IndexedDbGetAllRecords --video-capture-use-gpu-memory-buffer --lang=en-GB --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --js-flags=--stack-trace-limit=50 --expose-gc --ms-user-locale=en-IN --time-ticks-at-unix-epoch=-1766156539191930 --launch-time-ticks=835458077635 --skip-read-main-dll --metrics-shmem-handle=4596,i,5912036095521084621,10434520395860505162,2097152 --field-trial-handle=1808,i,10620068729897042011,17580638071235237271,262144 --enable-features=AutofillReplaceCachedWebElementsByRendererIds,DocumentPolicyIncludeJSCallStacksInCrashReports,PartitionedCookies,PreferredAudioOutputDevices,SharedArrayBuffer,ThirdPartyStoragePartitioning,msAbydos,msAbydosGestureSupport,msAbydosHandwritingAttr,msSingleSignOnOSForPrimaryAccountIsShared,msWebView2EnableDraggableRegions,msWebView2SetUserAgentOverrideOnIframes,msWebView2TerminateServiceWorkerWhenIdleIgnoringCdpSessions,msWebView2TextureStream --disable-features=BlockCrossPartitionBlobUrlFetching,BreakoutBoxPreferCaptureTimestampInVideoFrames,msEnhancedTrackingPreventionEnabled,msWebOOUI --variations-seed-version --trace-process-track-uuid=3190708991934122588 --mojo-platform-channel-handle=4272 /pfhostedapp:97e8ee9e1184160aacc89282a9161860414555f2 /prefetch:1"
496,ms-teams.exe,NO,5057,C:\Program Files\WindowsApps\MSTeams_25332.1210.4188.1171_x64__8wekyb3d8bbwe\ms-teams.exe
1340,msedgewebview2.exe,NO,14176,"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe --type=crashpad-handler --user-data-dir=C:\Users\amrit\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView /prefetch:4 /pfhostedapp:2bcbf2f32a07b68bae1a2519007a858095f78c5c --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\amrit\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView\Crashpad --metrics-dir=C:\Users\amrit\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=143.0.7499.147 --annotation=exe=C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe --annotation=plat=Win64 --annotation=prod=Edge WebView2 --annotation=ver=143.0.3650.96 --initial-client-data=0x174,0x178,0x17c,0x150,0x184,0x7ffd776662b8,0x7ffd776662c4,0x7ffd776662d0"
1364,LsaIso.exe,NO,840422,
1428,WUDFHost.exe,NO,840421,
1536,WUDFHost.exe,NO,840422,
1556,fontdrvhost.exe,NO,840422,
1732,WUDFHost.exe,NO,840422,
1788,WUDFHost.exe,NO,840422,
